Key,File,Type,UsedInMainMenu,NoTranslate,english,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
bbhaTipHardnessThresholdCurveStart,UI,Tooltip,,,This represents the strongest material an unarmed attack is able to damage without returning any damage to the attacker. Material HP is used internally to derive hardness.\n\nThe default (250) allows enemies to deal full damage to most wooden blocks without taking any damage themselves.,"Dies stellt das stärkste Material dar, das ein unbewaffneter Angriff beschädigen kann, ohne dem Angreifer Schaden zurückzugeben. Die Material-HP wird intern verwendet, um die Härte abzuleiten.\n\nDer Standardwert (250) erlaubt es Gegnern, den meisten Holzblöcken vollen Schaden zuzufügen, ohne selbst Schaden zu nehmen.",Esto representa el material más resistente que un ataque sin armas puede dañar sin devolver daño al atacante. Los puntos de vida del material se usan internamente para derivar la dureza.\n\nEl valor predeterminado (250) permite a los enemigos infligir daño completo a la mayoría de los bloques de madera sin recibir daño.,Cela représente le matériau le plus résistant qu’une attaque à mains nues peut endommager sans renvoyer de dégâts à l’attaquant. Les PV du matériau sont utilisés en interne pour déterminer la dureté.\n\nLa valeur par défaut (250) permet aux ennemis d’infliger des dégâts complets à la plupart des blocs en bois sans subir de dégâts.,Questo rappresenta il materiale più resistente che un attacco a mani nude può danneggiare senza restituire danni all’attaccante. Gli HP del materiale vengono utilizzati internamente per derivare la durezza.\n\nIl valore predefinito (250) consente ai nemici di infliggere danni completi alla maggior parte dei blocchi di legno senza subire danni.,これは、攻撃者にダメージを返すことなく素手攻撃でダメージを与えられる最も強い素材を示します。素材のHPは内部的に硬さを導き出すために使用されます。\n\nデフォルト値（250）では、敵はほとんどの木製ブロックに対して自身がダメージを受けることなく完全なダメージを与えることができます。,이는 공격자에게 피해를 되돌려주지 않고 맨손 공격으로 피해를 줄 수 있는 가장 강한 재료를 나타냅니다. 재료 HP는 내부적으로 경도를 계산하는 데 사용됩니다.\n\n기본값(250)은 적이 대부분의 목재 블록에 대해 자신이 피해를 입지 않고 전체 피해를 줄 수 있게 합니다.,"Oznacza to najmocniejszy materiał, który można uszkodzić atakiem bez broni bez zadawania obrażeń zwrotnych atakującemu. Punkty wytrzymałości materiału są używane wewnętrznie do określenia twardości.\n\nWartość domyślna (250) pozwala przeciwnikom zadawać pełne obrażenia większości drewnianych bloków bez ponoszenia obrażeń.",Isso representa o material mais resistente que um ataque desarmado pode danificar sem devolver dano ao atacante. Os pontos de vida do material são usados internamente para determinar a dureza.\n\nO valor padrão (250) permite que os inimigos causem dano total à maioria dos blocos de madeira sem sofrer dano.,"Это представляет самый прочный материал, который можно повредить безоружной атакой без возврата урона атакующему. Прочность материала используется внутри системы для определения твёрдости.\n\nЗначение по умолчанию (250) позволяет врагам наносить полный урон большинству деревянных блоков, не получая урона сами.","Bu, silahsız bir saldırının saldırgana hasar geri döndürmeden zarar verebileceği en güçlü malzemeyi temsil eder. Malzeme HP’si, sertliği belirlemek için dahili olarak kullanılır.\n\nVarsayılan değer (250), düşmanların çoğu ahşap bloğa kendileri hasar almadan tam hasar vermesine olanak tanır.",这表示徒手攻击在不对攻击者造成反伤的情况下能够破坏的最坚固材料。材料生命值在内部用于推导硬度。\n\n默认值（250）允许敌人在不受到伤害的情况下对大多数木制方块造成完整伤害。,這表示徒手攻擊在不對攻擊者造成反傷的情況下能夠破壞的最堅固材料。材料生命值在內部用於推導硬度。\n\n預設值（250）允許敵人在不受到傷害的情況下對大多數木製方塊造成完整傷害。
bbhaUIHardnessThresholdCurveMid,UI,Display,,,Curve Midpoint,Kurvenmittelpunkt,Punto medio de la curva,Point médian de la courbe,Punto medio della curva,曲線の中間点,곡선 중간점,Punkt środkowy krzywej,Ponto médio da curva,Середина кривой,Eğri orta noktası,曲线中点,曲線中點
bbhaTipHardnessThresholdCurveMid,UI,Tooltip,,,"This represents materials that are strong enough to absorb half the damage and return the other half to attackers. Material HP is used internally to derive hardness.\n\nBy default (500), attackers take about as much damage from attacking stone as they deal to it.","Dies stellt Materialien dar, die stark genug sind, die Hälfte des Schadens zu absorbieren und die andere Hälfte an die Angreifer zurückzugeben. Die Material-HP wird intern verwendet, um die Härte abzuleiten.\n\nDer Standardwert (500) bewirkt, dass Angreifer beim Angriff auf Stein etwa so viel Schaden erleiden, wie sie verursachen.","Esto representa materiales lo suficientemente resistentes como para absorber la mitad del daño y devolver la otra mitad a los atacantes. Los puntos de vida del material se usan internamente para derivar la dureza.\n\nDe forma predeterminada (500), los atacantes reciben aproximadamente tanto daño al atacar piedra como el que infligen.","Cela représente des matériaux suffisamment solides pour absorber la moitié des dégâts et renvoyer l’autre moitié aux attaquants. Les PV du matériau sont utilisés en interne pour déterminer la dureté.\n\nPar défaut (500), les attaquants subissent à peu près autant de dégâts en attaquant la pierre qu’ils en infligent.","Questo rappresenta materiali abbastanza resistenti da assorbire metà del danno e restituire l’altra metà agli attaccanti. Gli HP del materiale vengono utilizzati internamente per derivare la durezza.\n\nPer impostazione predefinita (500), gli attaccanti subiscono circa lo stesso danno attaccando la pietra di quanto ne infliggano.",これは、ダメージの半分を吸収し、残りの半分を攻撃者に返すのに十分な強度を持つ素材を示します。素材のHPは内部的に硬さを導き出すために使用されます。\n\nデフォルト値（500）では、攻撃者は石を攻撃する際、自分が与えるのとほぼ同じ量のダメージを受けます。,이는 피해의 절반을 흡수하고 나머지 절반을 공격자에게 되돌려줄 만큼 충분히 강한 재료를 나타냅니다. 재료 HP는 내부적으로 경도를 계산하는 데 사용됩니다.\n\n기본값(500)에서는 공격자가 돌을 공격할 때 자신이 가하는 피해와 거의 같은 양의 피해를 입습니다.,"Oznacza to materiały wystarczająco wytrzymałe, aby pochłaniać połowę obrażeń i zwracać drugą połowę atakującym. Punkty wytrzymałości materiału są używane wewnętrznie do określenia twardości.\n\nDomyślnie (500) atakujący otrzymują mniej więcej tyle samo obrażeń przy atakowaniu kamienia, ile sami zadają.","Isso representa materiais fortes o suficiente para absorver metade do dano e devolver a outra metade aos atacantes. Os pontos de vida do material são usados internamente para determinar a dureza.\n\nPor padrão (500), os atacantes sofrem aproximadamente tanto dano ao atacar pedra quanto causam.","Это представляет материалы, достаточно прочные, чтобы поглощать половину урона и возвращать другую половину атакующим. Прочность материала используется внутри системы для определения твёрдости.\n\nПо умолчанию (500) атакующие получают примерно столько же урона при атаке камня, сколько наносят.","Bu, hasarın yarısını emip diğer yarısını saldırganlara geri döndürecek kadar güçlü malzemeleri temsil eder. Malzeme HP’si, sertliği belirlemek için dahili olarak kullanılır.\n\nVarsayılan olarak (500), saldırganlar taşa saldırırken verdikleri hasara yaklaşık eşit miktarda hasar alır.",这表示足够坚固的材料，可以吸收一半伤害并将另一半返还给攻击者。材料生命值在内部用于推导硬度。\n\n默认值（500）下，攻击者在攻击石头时受到的伤害大致与其造成的伤害相当。,這表示足夠堅固的材料，可以吸收一半傷害並將另一半返還給攻擊者。材料生命值在內部用於推導硬度。\n\n預設值（500）下，攻擊者在攻擊石頭時受到的傷害大致與其造成的傷害相當。
bbhaUIHardnessThresholdCurveEnd,UI,Display,,,Curve End,Kurvenende,Fin de la curva,Fin de la courbe,Fine della curva,曲線の終点,곡선 끝점,Koniec krzywej,Fim da curva,Конец кривой,Eğri sonu,曲线终点,曲線終點
bbhaTipHardnessThresholdCurveEnd,UI,Tooltip,,,"This represents the weakest material an unarmed attack would not be able to damage at all. Material HP is used internally to derive hardness.\n\nBy default (5001), attackers are sometimes barely able to damage concrete, but suffering heavy damage themselves in the process.","Dies stellt das schwächste Material dar, das ein unbewaffneter Angriff überhaupt nicht beschädigen kann. Die Material-HP wird intern verwendet, um die Härte abzuleiten.\n\nDer Standardwert (5001) führt dazu, dass Angreifer Beton manchmal gerade noch beschädigen können, dabei jedoch selbst schweren Schaden erleiden.","Esto representa el material más débil que un ataque sin armas no puede dañar en absoluto. Los puntos de vida del material se usan internamente para derivar la dureza.\n\nDe forma predeterminada (5001), los atacantes a veces apenas pueden dañar el hormigón, pero sufren un daño considerable en el proceso.","Cela représente le matériau le plus faible qu’une attaque à mains nues ne peut pas endommager du tout. Les PV du matériau sont utilisés en interne pour déterminer la dureté.\n\nPar défaut (5001), les attaquants peuvent parfois à peine endommager le béton, mais subissent de lourds dégâts en le faisant.","Questo rappresenta il materiale più debole che un attacco a mani nude non è in grado di danneggiare affatto. Gli HP del materiale vengono utilizzati internamente per derivare la durezza.\n\nPer impostazione predefinita (5001), gli attaccanti riescono a malapena a danneggiare il cemento, subendo però danni pesanti nel processo.",これは、素手攻撃ではまったくダメージを与えられない最も弱い素材を示します。素材のHPは内部的に硬さを導き出すために使用されます。\n\nデフォルト値（5001）では、攻撃者はコンクリートに対してかろうじてダメージを与えられる場合がありますが、その過程で大きなダメージを受けます。,이는 맨손 공격으로 전혀 피해를 줄 수 없는 가장 약한 재료를 나타냅니다. 재료 HP는 내부적으로 경도를 계산하는 데 사용됩니다.\n\n기본값(5001)에서는 공격자가 콘크리트를 간신히 손상시킬 수 있지만 그 과정에서 큰 피해를 입습니다.,"Oznacza to najsłabszy materiał, którego atak bez broni nie jest w stanie w ogóle uszkodzić. Punkty wytrzymałości materiału są używane wewnętrznie do określenia twardości.\n\nDomyślnie (5001) atakujący czasami ledwo są w stanie uszkodzić beton, lecz w tym procesie ponoszą duże obrażenia.","Isso representa o material mais fraco que um ataque desarmado não consegue danificar de forma alguma. Os pontos de vida do material são usados internamente para determinar a dureza.\n\nPor padrão (5001), os atacantes às vezes mal conseguem danificar o concreto, mas sofrem grande dano no processo.","Это представляет самый слабый материал, который невозможно повредить безоружной атакой. Прочность материала используется внутри системы для определения твёрдости.\n\nПо умолчанию (5001) атакующие иногда едва могут повредить бетон, но при этом получают значительный урон.","Bu, silahsız bir saldırının hiç zarar veremeyeceği en zayıf malzemeyi temsil eder. Malzeme HP’si, sertliği belirlemek için dahili olarak kullanılır.\n\nVarsayılan olarak (5001), saldırganlar bazen betona zar zor zarar verebilir, ancak bu süreçte ağır hasar alırlar.",这表示徒手攻击完全无法破坏的最弱材料。材料生命值在内部用于推导硬度。\n\n默认值（5001）下，攻击者有时几乎无法破坏混凝土，但在此过程中会受到严重伤害。,這表示徒手攻擊完全無法破壞的最弱材料。材料生命值在內部用於推導硬度。\n\n預設值（5001）下，攻擊者有時幾乎無法破壞混凝土，但在此過程中會受到嚴重傷害。
bbhaUIBlockDamageFactorCat,UI,Display,,,[00FFFF]Block Damage Factors[-],[00FFFF]Blockschadensfaktoren[-],[00FFFF]Factores de daño de bloques[-],[00FFFF]Facteurs de dégâts des blocs[-],[00FFFF]Fattori di danno dei blocchi[-],[00FFFF]ブロックダメージ係数[-],[00FFFF]블록 피해 계수[-],[00FFFF]Współczynniki obrażeń bloków[-],[00FFFF]Fatores de dano de blocos[-],[00FFFF]Коэффициенты урона по блокам[-],[00FFFF]Blok hasar katsayıları[-],[00FFFF]方块伤害系数[-],[00FFFF]方塊傷害係數[-]
bbhaTipBlockDamageFactorCat,UI,Tooltip,,,"These settings make it so more powerful attackers have increased thresholds, allowing them to deal more damage to blocks while taking less damage themselves, and also making it possible for them to damage the strongest materials.","Diese Einstellungen sorgen dafür, dass stärkere Angreifer höhere Schwellenwerte haben, wodurch sie mehr Schaden an Blöcken verursachen und selbst weniger Schaden erleiden sowie auch die stärksten Materialien beschädigen können.","Estas configuraciones hacen que los atacantes más poderosos tengan umbrales más altos, lo que les permite infligir más daño a los bloques mientras reciben menos daño y también les permite dañar los materiales más resistentes.","Ces paramètres font en sorte que les attaquants plus puissants aient des seuils plus élevés, leur permettant d’infliger plus de dégâts aux blocs tout en subissant moins de dégâts, et leur permettant également d’endommager les matériaux les plus résistants.","Queste impostazioni fanno sì che gli attaccanti più potenti abbiano soglie più elevate, consentendo loro di infliggere più danni ai blocchi subendo meno danni e permettendo anche di danneggiare i materiali più resistenti.",これらの設定により、より強力な攻撃者はより高いしきい値を持ち、ブロックにより多くのダメージを与えつつ自身の被ダメージを減らし、さらに最も強い素材にもダメージを与えられるようになります。,"이 설정은 더 강력한 공격자가 더 높은 임계값을 가지도록 하여 블록에 더 많은 피해를 주면서 자신이 받는 피해는 줄이고, 가장 강한 재료에도 피해를 줄 수 있게 합니다.","Te ustawienia sprawiają, że silniejsi atakujący mają wyższe progi, co pozwala im zadawać więcej obrażeń blokom przy jednoczesnym otrzymywaniu mniejszych obrażeń, a także umożliwia uszkadzanie najsilniejszych materiałów.","Essas configurações fazem com que atacantes mais poderosos tenham limites mais altos, permitindo que causem mais dano aos blocos enquanto recebem menos dano e também tornando possível danificar os materiais mais resistentes.","Эти настройки делают так, что более мощные атакующие имеют более высокие пороги, позволяя им наносить больше урона блокам, получая при этом меньше урона, а также давая возможность повреждать самые прочные материалы.","Bu ayarlar, daha güçlü saldırganların daha yüksek eşiklere sahip olmasını sağlayarak bloklara daha fazla hasar vermelerine, kendilerinin daha az hasar almasına ve en güçlü malzemelere de zarar verebilmelerine olanak tanır.",这些设置使更强大的攻击者拥有更高的阈值，从而在对方块造成更多伤害的同时自身受到的伤害更少，并且也能够破坏最坚固的材料。,這些設定使更強大的攻擊者擁有更高的閾值，從而在對方塊造成更多傷害的同時自身受到的傷害更少，並且也能夠破壞最堅固的材料。
bbhaUIBlockDamageCurveStartMult,UI,Display,,,Curve Start Multiplier,Multiplikator für Kurvenanfang,Multiplicador de inicio de la curva,Multiplicateur de début de courbe,Moltiplicatore di inizio curva,曲線開始倍率,곡선 시작 배수,Mnożnik początku krzywej,Multiplicador do início da curva,Множитель начала кривой,Eğri başlangıç çarpanı,曲线起点倍率,曲線起點倍率
bbhaTipBlockDamageCurveStartMult,UI,Tooltip,,,"This is internally multiplied by the attacker’s Block Damage. If the result is larger than Curve Start (above), it is used as the Curve Start for that attack instead.","Dies wird intern mit dem Blockschaden des Angreifers multipliziert. Ist das Ergebnis größer als der Kurvenanfang (oben), wird stattdessen dieser Wert als Kurvenanfang für diesen Angriff verwendet."",""Esto se multiplica internamente por el daño de bloque del atacante. Si el resultado es mayor que el inicio de la curva (arriba), ese valor se usa como inicio de la curva para ese ataque."",""Ceci est multiplié en interne par les dégâts de bloc de l’attaquant. Si le résultat est supérieur au début de la courbe (ci-dessus), cette valeur est utilisée comme début de la courbe pour cette attaque."",""Questo viene moltiplicato internamente per il danno ai blocchi dell’attaccante. Se il risultato è maggiore dell’inizio della curva (sopra), quel valore viene invece utilizzato come inizio della curva per quell’attacco."",""これは攻撃者のブロックダメージと内部的に乗算されます。結果が（上記の）曲線の開始値より大きい場合、その値がその攻撃の曲線開始として使用されます。"",""이는 공격자의 블록 피해와 내부적으로 곱해집니다. 결과가 (위의) 곡선 시작보다 크면, 해당 값이 그 공격의 곡선 시작으로 대신 사용됩니다."",""Wartość ta jest wewnętrznie mnożona przez obrażenia bloków zadawane przez atakującego. Jeśli wynik jest większy niż początek krzywej (powyżej), to ta wartość jest używana jako początek krzywej dla tego ataku."",""Isso é multiplicado internamente pelo dano de bloco do atacante. Se o resultado for maior que o início da curva (acima), esse valor será usado como o início da curva para esse ataque."",""Это значение внутренне умножается на урон по блокам атакующего. Если результат больше начала кривой (выше), это значение используется как начало кривой для данной атаки."",""Bu değer dahili olarak saldırganın blok hasarı ile çarpılır. Sonuç (yukarıdaki) eğri başlangıcından büyükse, bu değer o saldırı için eğri başlangıcı olarak kullanılır."",""该值会在内部与攻击者的方块伤害相乘。如果结果大于（上方的）曲线起点，则该值将被用作该次攻击的曲线起点。"",""該值會在內部與攻擊者的方塊傷害相乘。如果結果大於（上方的）曲線起點，則該值將被用作該次攻擊的曲線起點。",,,,,,,,,,,
bbhaUIBlockDamageCurveMidMult,UI,Display,,,Curve Midpoint Multiplier,Multiplikator für Kurvenmittelpunkt,Multiplicador del punto medio de la curva,Multiplicateur du point médian de la courbe,Moltiplicatore del punto medio della curva,曲線中間点倍率,곡선 중간점 배수,Mnożnik punktu środkowego krzywej,Multiplicador do ponto médio da curva,Множитель середины кривой,Eğri orta noktası çarpanı,曲线中点倍率,曲線中點倍率
bbhaTipBlockDamageCurveMidMult,UI,Tooltip,,,"This is internally multiplied by the attacker’s Block Damage. If the result is larger than Curve Midpoint (above), it is used as the Curve Midpoint for that attack instead.","Dies wird intern mit dem Blockschaden des Angreifers multipliziert. Ist das Ergebnis größer als der Kurvenmittelpunkt (oben), wird stattdessen dieser Wert als Kurvenmittelpunkt für diesen Angriff verwendet.","Esto se multiplica internamente por el daño de bloque del atacante. Si el resultado es mayor que el punto medio de la curva (arriba), ese valor se usa como el punto medio de la curva para ese ataque.","Ceci est multiplié en interne par les dégâts de bloc de l’attaquant. Si le résultat est supérieur au point médian de la courbe (ci-dessus), cette valeur est utilisée comme point médian de la courbe pour cette attaque.","Questo viene moltiplicato internamente per il danno ai blocchi dell’attaccante. Se il risultato è maggiore del punto medio della curva (sopra), quel valore viene invece utilizzato come punto medio della curva per quell’attacco.",これは攻撃者のブロックダメージと内部的に乗算されます。結果が（上記の）曲線の中間点より大きい場合、その値がその攻撃の曲線中間点として使用されます。,"이는 공격자의 블록 피해와 내부적으로 곱해집니다. 결과가 (위의) 곡선 중간점보다 크면, 해당 값이 그 공격의 곡선 중간점으로 대신 사용됩니다.","Wartość ta jest wewnętrznie mnożona przez obrażenia bloków zadawane przez atakującego. Jeśli wynik jest większy niż punkt środkowy krzywej (powyżej), ta wartość jest używana jako punkt środkowy krzywej dla tego ataku.","Isso é multiplicado internamente pelo dano de bloco do atacante. Se o resultado for maior que o ponto médio da curva (acima), esse valor será usado como o ponto médio da curva para esse ataque.","Это значение внутренне умножается на урон по блокам атакующего. Если результат больше середины кривой (выше), это значение используется как середина кривой для данной атаки.","Bu değer dahili olarak saldırganın blok hasarı ile çarpılır. Sonuç (yukarıdaki) eğri orta noktasından büyükse, bu değer o saldırı için eğri orta noktası olarak kullanılır.",该值会在内部与攻击者的方块伤害相乘。如果结果大于（上方的）曲线中点，则该值将被用作该次攻击的曲线中点。,該值會在內部與攻擊者的方塊傷害相乘。如果結果大於（上方的）曲線中點，則該值將被用作該次攻擊的曲線中點。
bbhaUIBlockDamageCurveEndMult,UI,Display,,,Curve End Multiplier,Multiplikator für Kurvenende,Multiplicador del final de la curva,Multiplicateur de fin de courbe,Moltiplicatore di fine curva,曲線終点倍率,곡선 끝점 배수,Mnożnik końca krzywej,Multiplicador do fim da curva,Множитель конца кривой,Eğri sonu çarpanı,曲线终点倍率,曲線終點倍率
bbhaTipBlockDamageCurveEndMult,UI,Tooltip,,,"This is internally multiplied by the attacker’s Block Damage. If the result is larger than Curve End (above), it is used as the Curve End for that attack instead.","Dies wird intern mit dem Blockschaden des Angreifers multipliziert. Ist das Ergebnis größer als das Kurvenende (oben), wird stattdessen dieser Wert als Kurvenende für diesen Angriff verwendet.","Esto se multiplica internamente por el daño de bloque del atacante. Si el resultado es mayor que el final de la curva (arriba), ese valor se usa como el final de la curva para ese ataque.","Ceci est multiplié en interne par les dégâts de bloc de l’attaquant. Si le résultat est supérieur à la fin de la courbe (ci-dessus), cette valeur est utilisée comme fin de la courbe pour cette attaque.","Questo viene moltiplicato internamente per il danno ai blocchi dell’attaccante. Se il risultato è maggiore della fine della curva (sopra), quel valore viene invece utilizzato come fine della curva per quell’attacco.",これは攻撃者のブロックダメージと内部的に乗算されます。結果が（上記の）曲線の終点より大きい場合、その値がその攻撃の曲線終点として使用されます。,"이는 공격자의 블록 피해와 내부적으로 곱해집니다. 결과가 (위의) 곡선 끝점보다 크면, 해당 값이 그 공격의 곡선 끝점으로 대신 사용됩니다.","Wartość ta jest wewnętrznie mnożona przez obrażenia bloków zadawane przez atakującego. Jeśli wynik jest większy niż koniec krzywej (powyżej), ta wartość jest używana jako koniec krzywej dla tego ataku.","Isso é multiplicado internamente pelo dano de bloco do atacante. Se o resultado for maior que o fim da curva (acima), esse valor será usado como o fim da curva para esse ataque.","Это значение внутренне умножается на урон по блокам атакующего. Если результат больше конца кривой (выше), это значение используется как конец кривой для данной атаки.","Bu değer dahili olarak saldırganın blok hasarı ile çarpılır. Sonuç (yukarıdaki) eğri sonundan büyükse, bu değer o saldırı için eğri sonu olarak kullanılır.",该值会在内部与攻击者的方块伤害相乘。如果结果大于（上方的）曲线终点，则该值将被用作该次攻击的曲线终点。,該值會在內部與攻擊者的方塊傷害相乘。如果結果大於（上方的）曲線終點，則該值將被用作該次攻擊的曲線終點。
